Description,Revenue,Revenue_Percentage,Cumulative_Percentage,ABC_Category
"PAPER CRAFT , LITTLE BIRDIE",168469.6,0.018904898252521004,0.018904898252521004,A - High Value
REGENCY CAKESTAND 3 TIER,142592.94999999998,0.016001137364110882,0.034906035616631886,A - High Value
WHITE HANGING HEART T-LIGHT HOLDER,100448.15000000001,0.011271838096629705,0.04617787371326159,A - High Value
JUMBO BAG RED RETROSPOT,85220.78,0.009563091352389256,0.05574096506565085,A - High Value
MEDIUM CERAMIC TOP STORAGE JAR,81416.73000000001,0.009136218028077318,0.06487718309372817,A - High Value
POSTAGE,77821.96,0.008732829160939183,0.07361001225466735,A - High Value
PARTY BUNTING,68844.33,0.0077254000360479245,0.08133541229071527,A - High Value
ASSORTED COLOUR BIRD ORNAMENT,56580.34,0.00634919042244443,0.0876846027131597,A - High Value
Manual,53779.93,0.00603494104976626,0.09371954376292596,A - High Value
RABBIT NIGHT LIGHT,51346.2,0.005761838851956638,0.0994813826148826,A - High Value
CHILLI LIGHTS,46286.51,0.005194063273221377,0.10467544588810397,A - High Value
PAPER CHAIN KIT 50'S CHRISTMAS ,42660.83,0.0047872058253720295,0.109462651713476,A - High Value
PICNIC BASKET WICKER 60 PIECES,39619.5,0.004445921497503146,0.11390857321097914,A - High Value
BLACK RECORD COVER FRAME,39064.55,0.004383647512848131,0.11829222072382727,A - High Value
JUMBO BAG PINK POLKADOT,37289.590000000004,0.004184469511580872,0.12247669023540814,A - High Value
DOORMAT KEEP CALM AND COME IN,35913.85,0.004030090177137605,0.12650678041254573,A - High Value
SPOTTY BUNTING,35539.25,0.003988054255609956,0.1304948346681557,A - High Value
WOOD BLACK BOARD ANT WHITE FINISH,34478.01,0.003868966691910005,0.1343638013600657,A - High Value
SET OF 3 CAKE TINS PANTRY DESIGN ,33347.8,0.0037421396260537212,0.13810594098611942,A - High Value
JAM MAKING SET WITH JARS,32662.97,0.003665291093913359,0.14177123208003278,A - High Value
JUMBO BAG STRAWBERRY,30644.2,0.0034387538346972047,0.14520998591473,A - High Value
